La Victoria de Acentejo;1865;686;0;686;1865;24821
Gáldar;1557;2733;89;2733;1646;96924
San Cristóbal de La Laguna;56887;16160;674;16160;57561;387373
Tejeda;572;1844;0;1844;572;12099
Los Silos;852;7075;0;7075;852;20628
Los Llanos de Aridane;18685;4611;0;4611;18685;64869
Garafía;13013;3483;0;3483;13013;14831
Agüimes;3114;6942;541;6942;3654;129540
Los Realejos;31626;3474;0;3474;31626;97016
Antigua;4431;2976;0;2976;4431;101845
Yaiza;3969;10762;25083;10762;29052;183321
Puntallana;8879;1401;0;1401;8879;13949
Tijarafe;14278;2706;0;2706;14278;26307
La Guancha;6243;926;0;926;6243;24255
Tegueste;4561;1042;0;1042;4561;42806
Tinajo;733;1440;0;1440;733;49466
Ingenio;553;2245;78;2245;631;100931
Arucas;1472;2466;0;2466;1472;91247
El Rosario;5445;13638;89;13638;5534;58458
Tuineje;12363;4993;0;4993;12363;65756
Santiago del Teide;3069;9256;0;9256;3069;30832
Santa Cruz de Tenerife;26255;25821;25;25821;26280;359534
Telde;2623;6533;158;6533;2782;263615
Garachico;6790;5106;0;5106;6790;23833
Valsequillo de Gran Canaria;640;1095;0;1095;640;50402
Güímar;13851;4842;0;4842;13851;58724
Frontera;1821;5784;74;5784;1895;20494
Santa María de Guía de Gran Canaria;303;2173;0;2173;303;41002
Arona;50349;10333;395;10333;50744;208016
Valle Gran Rey;2164;2798;321;2798;2485;16622
Puntagorda;7603;1957;0;1957;7603;27148
Fuencaliente de la Palma;8461;1651;0;1651;8461;17802
Teguise;1692;9678;2030;9678;3721;171865
San Miguel de Abona;36801;3102;0;3102;36801;91877
Tazacorte;2657;2038;0;2038;2657;10579
Mogán;1965;5728;0;5728;1965;84896
Moya;117;1125;0;1125;117;30665
Vallehermoso;11324;2961;2745;2961;14070;18507
Breña Baja;7767;3931;367;3931;8134;30719
Haría;323;2084;0;2084;323;47298
Santa Lucía de Tirajana;5492;2663;0;2663;5492;127224
Artenara;348;1196;0;1196;348;6599
San Andrés y Sauces;6986;1233;0;1233;6986;18049
Hermigua;6361;1868;53;1868;6414;6986
Villa de Mazo;25152;2594;0;2594;25152;32221
Adeje;41707;11293;154;11293;41860;136525
Firgas;289;827;0;827;289;32837
Granadilla de Abona;32587;7939;6678;7939;39265;147393
El Pinar de El Hierro;7489;3100;0;3100;7489;18123
Pájara;3826;10305;702;10305;4528;66113
Buenavista del Norte;6632;9535;0;9535;6632;23362
Santa Úrsula;2165;5779;0;5779;2165;55528
El Paso;13555;2748;0;2748;13555;49159
Valverde;10044;9131;107;9131;10151;42768
Guía de Isora;9735;18989;0;18989;9735;62335
San Juan de la Rambla;7131;1316;0;1316;7131;21192
Betancuria;2195;1709;0;1709;2195;8474
Teror;234;1267;0;1267;234;35370
Breña Alta;18655;2094;0;2094;18655;44808
Icod de los Vinos;57364;3042;0;3042;57364;105401
Alajeró;11704;1447;614;1447;12318;16643
San Sebastián de la Gomera;16888;2808;1510;2808;18398;32752
Tacoronte;16898;1517;0;1517;16898;90625
Valleseco;191;848;0;848;191;18864
La Oliva;39489;7159;529;7159;40018;222998
Puerto de la Cruz;6680;4739;0;4739;6680;65942
Arafo;5430;6873;0;6873;5430;28060
Candelaria;19184;19043;0;19043;19184;71621
El Tanque;4870;3946;0;3946;4870;17495
Arico;14223;4256;0;4256;14223;58037
El Sauzal;6937;1171;0;1171;6937;38280
Vilaflor;3114;1812;0;1812;3114;8582
Fasnia;3544;1105;0;1105;3544;13853
Barlovento;9717;1170;0;1170;9717;13729
Vega de San Mateo;1333;1647;0;1647;1333;26966
San Bartolomé;1101;2366;4524;2366;5624;70128
Las Palmas de Gran Canaria;19417;29595;559;29595;19977;530610
Arrecife;4605;3012;0;3012;4605;125829
Tías;3516;3845;2057;3845;5573;124295
Santa Cruz de la Palma;5735;1452;0;1452;5735;25995
San Bartolomé de Tirajana;7011;31575;472;31575;7483;191295
La Matanza de Acentejo;6666;921;0;921;6666;26587
Agulo;5674;855;397;855;6071;7293
La Orotava;57577;4831;0;4831;57577;149511
Santa Brígida;1031;1518;0;1518;1031;69432
Puerto del Rosario;92811;4138;0;4138;92811;183475
Agaete;906;1806;1981;1806;2887;21133
San Nicolás de Tolentino;198;2041;0;2041;198;40115
