Llanera;25947;3086;0;3086;25947;53482
Valdés;120412;3551;1073;3551;121485;136181
Morcín;7662;754;1614;754;9276;9869
Cangas de Onís;17255;2848;315;2848;17571;21072
Villaviciosa;29029;3842;0;3842;29029;44386
Ribera de Arriba;5235;786;117;786;5352;5352
Santo Adriano;2447;743;1233;743;3680;4730
Siero;43412;12111;1343;12111;44755;91673
Cudillero;57058;2054;2531;2054;59589;60488
Ribadesella;22269;2869;46;2869;22315;37949
Yernes y Tameza;3433;728;0;728;3433;3433
Gijón/Xixón;12429;27527;1427;27527;13855;353759
Candamo;3710;386;0;386;3710;3710
Illas;771;377;833;377;1604;2340
Santa Eulalia de Oscos;11090;333;0;333;11090;11615
Piloña;25184;2758;939;2758;26123;31815
Cangas del Narcea;134079;3264;1728;3264;135807;145349
Mieres;44031;4900;160;4900;44191;70254
Ponga;8349;1161;3203;1161;11552;12819
Navia;52763;2257;0;2257;52763;60390
Sobrescobio;12085;988;0;988;12085;12085
Lena;46672;5143;1411;5143;48083;59171
Quirós;28520;4748;200;4748;28720;28720
Bimenes;5439;4332;0;4332;5439;5439
Tineo;90880;2048;82;2048;90961;94675
Peñamellera Alta;12371;738;467;738;12838;12838
Pravia;13152;946;0;946;13152;20291
Degaña;8807;213;0;213;8807;8807
Cabrales;12359;5406;150;5406;12508;15185
Riosa;4811;471;953;471;5764;7749
Pesoz;5476;191;164;191;5640;5640
Tapia de Casariego;30134;1068;0;1068;30134;42808
Llangréu/Langreo;23940;13992;294;13992;24234;91994
Teverga;29176;809;1069;809;30246;30929
Cabranes;7159;497;628;497;7787;7787
Vegadeo;27628;857;2896;857;30525;35374
Coaña;20831;919;0;919;20831;20831
Taramundi;14142;1539;376;1539;14518;15433
Corvera de Asturias;15905;1358;0;1358;15905;38463
Castrillón;46645;3302;378;3302;47023;82197
Nava;20644;785;408;785;21052;27603
Ibias;38580;1308;333;1308;38913;38913
Salas;25109;1869;2042;1869;27150;36138
Gozón;24751;1812;33;1812;24784;42296
Soto del Barco;15445;677;0;677;15445;25221
San Tirso de Abres;8205;242;55;242;8261;8321
Caso;21304;2318;578;2318;21883;25294
Llanes;52773;9715;2566;9715;55339;77841
Colunga;28826;4707;540;4707;29366;42312
Sariego;7113;518;0;518;7113;8720
Villayón;18135;415;619;415;18754;18754
Ribadedeva;9240;721;435;721;9674;10188
Amieva;7083;655;1547;655;8630;8630
Somiedo;33692;2195;366;2195;34058;35371
Parres;10315;994;504;994;10819;16062
Onís;8124;1961;0;1961;8124;8124
Carreño;12554;2007;140;2007;12694;29212
Grandas de Salime;20533;722;0;722;20533;23420
Castropol;35640;1306;0;1306;35640;46429
Proaza;16019;436;140;436;16160;16826
Aller;21575;3887;213;3887;21788;31949
Boal;9012;1254;0;1254;9012;10952
Grau/Grado;28671;2190;366;2190;29037;43044
San Martín de Oscos;12427;261;0;261;12427;12427
Illano;16736;593;1076;593;17812;17812
El Franco;9978;604;0;604;9978;17271
Villanueva de Oscos;6916;345;0;345;6916;6916
Las Regueras;6011;670;0;670;6011;6011
Peñamellera Baja;11476;632;0;632;11476;11476
Samartín del Rei Aurelio;22882;2219;192;2219;23074;42624
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;11289;789;1326;789;12615;14589
Allande;40928;1396;34;1396;40963;42412
Laviana;23948;2589;0;2589;23948;33578
Muros de Nalón;6615;1509;0;1509;6615;15644
Avilés;29470;6110;2246;6110;31717;105931
Oviedo;76941;24395;2883;24395;79824;240865
Caravia;4840;818;0;818;4840;5128
