Mingorría;5888;140;0;140;5888;6109
Casasola;3306;70;0;70;3306;3306
El Oso;3410;128;0;128;3410;3410
Navarrevisca;4488;1001;0;1001;4488;4488
Villaflor;2233;71;327;71;2560;2560
Navacepedilla de Corneja;2911;46;0;46;2911;2911
Palacios de Goda;4570;96;299;96;4869;4869
Puerto Castilla;4517;130;0;130;4517;4517
Higuera de las Dueñas;4847;61;0;61;4847;4847
Candeleda;10833;1849;0;1849;10833;26016
Cebreros;10177;1683;0;1683;10177;29499
Nava del Barco;3180;132;0;132;3180;3594
La Torre;7198;196;0;196;7198;9612
San García de Ingelmos;2922;51;0;51;2922;2922
Pozanco;1102;71;0;71;1102;1102
Tórtoles;2553;97;0;97;2553;3061
Santo Domingo de las Posadas;1900;105;0;105;1900;1900
Narros del Puerto;2027;25;0;25;2027;2027
Aldeanueva de Santa Cruz;781;58;0;58;781;2219
Sanchorreja;2007;132;0;132;2007;2007
Manjabálago;2073;20;0;20;2073;2073
Muñana;3502;91;0;91;3502;3502
Casillas;1548;188;0;188;1548;6541
Sinlabajos;2810;23;0;23;2810;2810
Mesegar de Corneja;3050;53;0;53;3050;3050
Santa María del Berrocal;6207;122;0;122;6207;6207
Valdecasa;2326;47;0;47;2326;2326
Albornos;0;74;0;74;0;3350
Poyales del Hoyo;5708;74;0;74;5708;5822
Las Berlanas;6914;87;0;87;6914;6914
Gavilanes;5819;431;121;431;5940;6261
Mijares;3372;307;0;307;3372;6049
El Barco de Ávila;14166;293;0;293;14166;18339
Las Navas del Marqués;32812;1067;58;1067;32870;73522
Mediana de Voltoya;2203;75;0;75;2203;2203
Navarredonda de Gredos;1648;662;0;662;1648;11371
Horcajo de las Torres;2295;1395;0;1395;2295;6992
El Parral;0;75;0;75;0;2504
Bercial de Zapardiel;2674;25;0;25;2674;2674
Malpartida de Corneja;3642;88;0;88;3642;3642
Guisando;1925;197;0;197;1925;4306
Navaescurial;951;16;0;16;951;951
Narros del Castillo;0;103;0;103;0;3314
Muñopepe;539;28;0;28;539;539
Solosancho;8827;122;0;122;8827;10331
Sigeres;0;87;0;87;0;2087
Mironcillo;2049;63;0;63;2049;2049
Pradosegar;1583;51;0;51;1583;1583
Navatejares;1561;33;0;33;1561;1561
Mengamuñoz;191;48;0;48;191;251
Navalmoral;5731;142;0;142;5731;7532
Navaluenga;18215;394;0;394;18215;25123
Muñogrande;0;370;0;370;0;3546
Martínez;2128;53;0;53;2128;2128
Fuente el Saúz;3148;20;0;20;3148;3148
Hurtumpascual;1969;47;0;47;1969;2177
La Adrada;26664;465;1042;465;27706;37798
Berrocalejo de Aragona;661;75;0;75;661;2312
Zapardiel de la Cañada;2579;120;0;120;2579;2956
Cabezas de Alambre;185;44;0;44;185;2946
Navadijos;2178;24;0;24;2178;2178
Vita;0;95;0;95;0;2466
El Barraco;11745;2829;0;2829;11745;33343
Hoyorredondo;2452;103;0;103;2452;2452
Ojos-Albos;2003;68;0;68;2003;2003
Blascosancho;1576;321;0;321;1576;4697
Hoyos del Collado;1064;13;0;13;1064;1064
Peñalba de Ávila;5879;179;0;179;5879;5879
Diego del Carpio;4568;116;0;116;4568;4568
Bularros;2719;111;0;111;2719;2719
Canales;1593;19;0;19;1593;1593
Maello;12693;759;0;759;12693;42381
Hoyocasero;3884;154;0;154;3884;6627
Navarredondilla;4687;66;0;66;4687;4687
Villanueva del Aceral;2726;39;0;39;2726;2726
Villanueva de Ávila;5277;122;0;122;5277;6238
Piedralaves;9508;572;0;572;9508;17185
Casavieja;1342;541;0;541;1342;13893
Crespos;0;1303;0;1303;0;10557
Nava de Arévalo;1504;273;0;273;1504;12874
La Serrada;1287;80;0;80;1287;3166
Villanueva de Gómez;177;256;0;256;177;3246
Narrillos del Álamo;2532;84;0;84;2532;2532
Fresnedilla;2130;31;0;31;2130;2130
Tolbaños;2737;153;0;153;2737;2737
Muñico;2836;40;0;40;2836;2836
San Miguel de Serrezuela;4413;96;0;96;4413;4413
Pedro-Rodríguez;400;94;0;94;400;2597
Medinilla;2483;13;0;13;2483;2483
San Miguel de Corneja;142;61;0;61;142;1926
Muñosancho;0;46;0;46;0;3586
Hoyos del Espino;6209;244;0;244;6209;10863
Fuentes de Año;2583;30;0;30;2583;2583
Cabezas del Pozo;744;28;0;28;744;2423
Santiago del Tormes;5612;477;0;477;5612;6045
Moraleja de Matacabras;2287;14;0;14;2287;2287
Narros de Saldueña;71;28;0;28;71;2464
Barromán;3013;35;0;35;3013;3013
San Martín de la Vega del Alberche;3646;54;74;54;3720;4986
Lanzahíta;9525;134;293;134;9818;11908
Gemuño;4225;48;0;48;4225;4225
Bernuy-Zapardiel;3187;41;0;41;3187;3187
Cardeñosa;1133;197;0;197;1133;4410
Neila de San Miguel;2597;25;0;25;2597;2597
Gilbuena;2036;32;0;32;2036;2163
Mirueña de los Infanzones;3701;61;0;61;3701;3701
Gutierre-Muñoz;1485;105;0;105;1485;1485
Navahondilla;13095;369;0;369;13095;13822
Solana de Rioalmar;0;238;0;238;0;7051
Bohoyo;3828;370;0;370;3828;3923
Hernansancho;2809;127;0;127;2809;2809
Cisla;3039;36;0;36;3039;3039
San Martín del Pimpollar;1291;120;0;120;1291;4971
El Fresno;2184;63;0;63;2184;2184
Arenas de San Pedro;29950;1115;0;1115;29950;41038
Donjimeno;264;27;0;27;264;2152
Riocabado;4597;62;0;62;4597;4597
Chamartín;2279;98;0;98;2279;2279
Tiñosillos;6209;249;411;249;6621;6621
Tormellas;1470;38;0;38;1470;1470
Padiernos;6380;109;0;109;6380;6380
San Bartolomé de Pinares;1272;2142;127;2142;1399;9340
Gil García;1991;33;0;33;1991;1991
Navaquesera;725;19;0;19;725;725
Cabezas del Villar;6716;150;977;150;7693;7693
Salvadiós;0;89;0;89;0;2820
Aldeaseca;2794;33;0;33;2794;2794
Gallegos de Sobrinos;4094;53;0;53;4094;4094
San Pedro del Arroyo;7691;193;0;193;7691;7691
Narrillos del Rebollar;1813;41;0;41;1813;1813
Mancera de Arriba;3715;41;0;41;3715;3715
Sanchidrián;11443;528;0;528;11443;12959
Espinosa de los Caballeros;2432;95;0;95;2432;2432
Adanero;1620;1032;0;1032;1620;7153
Junciana;1793;43;0;43;1793;1793
Madrigal de las Altas Torres;4911;576;1122;576;6033;15710
Villar de Corneja;674;43;0;43;674;674
Arévalo;4644;727;0;727;4644;40251
Viñegra de Moraña;83;84;0;84;83;2483
San Juan de Gredos;8527;535;52;535;8579;10494
San Esteban de los Patos;1300;28;0;28;1300;1300
Velayos;3672;143;0;143;3672;3672
Avellaneda;1021;17;0;17;1021;1021
Rivilla de Barajas;50;112;0;112;50;2169
Pedro Bernardo;1094;348;2967;348;4061;6238
Santa Cruz de Pinares;2506;159;0;159;2506;5593
Gimialcón;2140;74;0;74;2140;2140
Cabizuela;575;85;0;85;575;2202
Blasconuño de Matacabras;858;39;0;39;858;858
Niharra;2451;56;0;56;2451;2451
Aveinte;1514;51;0;51;1514;3162
La Hija de Dios;2997;44;0;44;2997;2997
Muñogalindo;4743;60;0;60;4743;4743
Villanueva del Campillo;5658;93;0;93;5658;5658
Flores de Ávila;6022;94;0;94;6022;6022
Pascualcobo;2378;42;38;42;2416;2538
San Esteban del Valle;3392;126;0;126;3392;3392
Santiago del Collado;1737;97;0;97;1737;1737
Orbita;1663;67;0;67;1663;1663
San Juan del Molinillo;3138;58;0;58;3138;3138
Solana de Ávila;2313;187;0;187;2313;2522
La Aldehuela;777;73;0;73;777;777
Fontiveros;2204;148;0;148;2204;9507
El Arenal;5171;197;0;197;5171;6155
Los Llanos de Tormes;1453;85;0;85;1453;1929
San Esteban de Zapardiel;1892;14;0;14;1892;1892
Navalperal de Pinares;7370;379;209;379;7579;20200
Navalosa;3735;409;0;409;3735;6286
Papatrigo;0;137;0;137;0;4609
El Hoyo de Pinares;755;900;0;900;755;24642
El Bohodón;1013;147;0;147;1013;4118
Langa;4541;60;0;60;4541;4541
Villatoro;2990;108;0;108;2990;3763
El Hornillo;1974;71;0;71;1974;1974
Blascomillán;0;76;0;76;0;4347
Santo Tomé de Zabarcos;0;46;0;46;0;2952
Cuevas del Valle;923;178;0;178;923;5322
Umbrías;2573;85;0;85;2573;2573
Grandes y San Martín;0;87;0;87;0;3150
Navalperal de Tormes;3589;346;0;346;3589;3589
Rasueros;4361;78;0;78;4361;4361
Zapardiel de la Ribera;2381;248;0;248;2381;2381
Cantiveros;2756;35;0;35;2756;2756
Marlín;384;52;0;52;384;1782
Poveda;1036;14;0;14;1036;1036
Castellanos de Zapardiel;2940;26;0;26;2940;3100
Collado del Mirón;1132;35;0;35;1132;1132
Navatalgordo;2263;42;0;42;2263;2263
Santa María de los Caballeros;1417;130;0;130;1417;1417
Muñomer del Peco;129;31;0;31;129;1967
El Tiemblo;25775;1519;268;1519;26043;51555
Pajares de Adaja;3352;200;0;200;3352;3453
Serranillos;1959;336;29;336;1988;3878
Brabos;128;144;0;144;128;3396
Herreros de Suso;0;72;0;72;0;5716
Salobral;1650;63;0;63;1650;1650
San Juan del Olmo;3994;35;0;35;3994;3994
La Carrera;3928;97;0;97;3928;4011
San Pascual;138;98;0;98;138;2310
Santa María del Arroyo;3122;36;0;36;3122;3360
Herradón de Pinares;10415;1003;756;1003;11171;26448
Navalonguilla;2301;565;0;565;2301;3939
Navalacruz;4591;112;0;112;4591;4591
San Juan de la Nava;4295;246;0;246;4295;8268
Cepeda la Mora;3258;72;0;72;3258;3258
Mamblas;1259;16;0;16;1259;1259
Collado de Contreras;753;89;0;89;753;4277
Amavida;1478;53;0;53;1478;1789
Santa Cruz del Valle;3166;109;0;109;3166;3166
Sotalbo;5324;193;0;193;5324;5385
Casas del Puerto;1921;69;0;69;1921;1921
Tornadizos de Ávila;3584;269;0;269;3584;3584
Becedas;3265;105;0;105;3265;5002
Monsalupe;1590;59;0;59;1590;1590
La Horcajada;10179;570;0;570;10179;10262
San Vicente de Arévalo;96;581;0;581;96;5217
Gotarrendura;378;59;0;59;378;3363
Mombeltrán;5963;399;0;399;5963;14348
Peguerinos;14350;739;28;739;14378;14486
Becedillas;1844;107;0;107;1844;2946
Cillán;2563;80;0;80;2563;2563
San Juan de la Encinilla;2462;115;0;115;2462;2462
Riofrío;4514;119;0;119;4514;4514
Ávila;37681;4985;692;4985;38372;219021
Vadillo de la Sierra;216;86;0;86;216;6484
Martiherrero;2717;115;0;115;2717;3100
La Colilla;2064;82;0;82;2064;2064
El Mirón;4752;144;0;144;4752;4867
Constanzana;1554;28;411;28;1964;2407
Donvidas;1023;14;0;14;1023;1023
Piedrahíta;4814;460;0;460;4814;15265
Santa María del Cubillo;15773;143;0;143;15773;15773
Burgohondo;9695;556;0;556;9695;13038
Villafranca de la Sierra;1417;70;0;70;1417;1417
Arevalillo;2637;102;0;102;2637;2637
Gallegos de Altamiros;4454;107;0;107;4454;4454
Muñotello;1764;31;0;31;1764;1928
Sotillo de la Adrada;30129;457;122;457;30251;36079
San Lorenzo de Tormes;1978;79;0;79;1978;1978
Santa María del Tiétar;9786;206;0;206;9786;12644
Hoyos de Miguel Muñoz;330;5;0;5;330;330
Garganta del Villar;2646;36;0;36;2646;2646
El Losar del Barco;2555;121;0;121;2555;2555
Vega de Santa María;2442;167;0;167;2442;2442
San Bartolomé de Corneja;1506;21;0;21;1506;1506
San Bartolomé de Béjar;1410;31;0;31;1410;1410
Bonilla de la Sierra;4333;151;0;151;4333;5655
Villarejo del Valle;2230;101;0;101;2230;2230
